Year,Month,Renewable Energy (kJ),Nuclear Energy (kJ),Natural Gas Energy (kJ)
2016,09,807846770848460.5,235512000000000,155475140553788.44
2016,08,841132727942768.8,257493600000000,160137432366516.22
2016,07,898538316883823.0,253256400000000,168495584830971.88
2016,06,881796690614448.9,241830000000000,164910505043769.1
2016,05,928333094161811.8,239626800000000,169114902616459.78
2016,04,915927747446705.8,224514000000000,159788208879299.0
2016,03,966023909440808.8,238136400000000,165693356486413.12
2016,02,891133934910135.8,236296800000000,147307953198657.03
2016,01,902943175068511.5,261129600000000,156623041321439.0
2015,12,907804872437384.5,250682400000000,151510240659642.5
2015,11,849886526351957.0,216950400000000,146779370216494.4
2015,10,794314624482756.2,218055600000000,151706481048229.78
2015,09,760724811302893.4,239313600000000,148512826982349.06
2015,08,812168279620792.0,260694000000000,151994511295995.06
2015,07,839755880055099.6,257083200000000,152102126992962.28
2015,06,813256042204843.1,246657600000000,147171850993669.03
2015,05,849103674909312.9,236977200000000,151885840543175.22
2015,04,856976501681563.2,215222400000000,148596176394706.06
2015,03,859933823236457.1,232369200000000,151569323787389.2
2015,02,792449285735324.1,228459600000000,136245692583936.31
2015,01,850751672151105.2,267372000000000,148591956171295.56
2014,12,865584702383090.0,264106800000000,148716452761904.72
2014,11,846827919435211.6,234504000000000,142812360210643.22
2014,10,799340910564638.0,224607600000000,148522322485022.62
2014,09,747867900682866.0,243126000000000,142319649127469.66
2014,08,795273670252787.9,256064400000000,147115933033480.2
2014,07,865303002470440.4,258984000000000,146319365864752.06
2014,06,900366728676413.5,245296800000000,138651219927909.92
2014,05,901676052989514.9,226609200000000,142536990633109.38
2014,04,905505905734525.5,202986000000000,138688146882751.61
2014,03,896857612910599.4,224629200000000,139888800443033.17
2014,02,738276387926697.6,225500400000000,125444030764812.75
2014,01,860188091696938.6,263386800000000,135671742200111.05
2013,12,833631280830640.6,256658400000000,121954961060198.4
2013,11,794913896207044.5,233910000000000,120034759408430.02
2013,10,774529162078573.4,227462400000000,122778959681094.64
2013,09,729690343398076.1,236876400000000,118459561020468.36
2013,08,777084507353619.1,256838400000000,122727261944316.25
2013,07,853519083652527.6,253940400000000,122992080963323.88
2013,06,863605417603574.8,239148000000000,116719773919497.98
2013,05,901740411396524.6,226252800000000,120788069287200.7
2013,04,859059181934635.2,204361200000000,117292669247470.64
2013,03,806839192509208.2,226609200000000,119657049413192.06
2013,02,737284635425234.9,221338800000000,108369006846010.67
2013,01,826545525724444.6,257061600000000,119631728072729.17
2012,12,798793336577128.2,246902400000000,112286429226788.75
2012,11,712305133058603.8,204166800000000,109636128925007.31
2012,10,707710364820443.6,215074800000000,113128363797179.5
2012,09,673989724714855.8,232239600000000,109242593091980.05
2012,08,746374996651408.8,250567200000000,112240006769273.45
2012,07,778539429374382.1,248864400000000,112794966147751.6
2012,06,809408253510338.1,234504000000000,106406602960137.48
2012,05,844343262902291.5,223491600000000,110655312878638.22
2012,04,800238763095217.6,201135600000000,106647155694534.83
2012,03,827754619731547.1,222224400000000,110516045506092.38
2012,02,721712011040563.6,229849200000000,102990332109353.92
2012,01,802974522921061.2,260571600000000,112289594394346.61
2011,12,804122423688711.8,258613200000000,106311647933401.67
2011,11,770646556540931.9,232106400000000,103385978054086.42
2011,10,740315810889812.0,228013200000000,105505585262000
2011,09,708833999303483.9,240656400000000,98952633361377.19
2011,08,777650017290623.5,256820400000000,102413216557970.78
2011,07,830662353661368.0,260442000000000,101226278723773.28
2011,06,865017082334380.4,234972000000000,97325737236637.14
2011,05,872737981063853.5,205246800000000,101121828194363.9
2011,04,851866866187324.6,196369200000000,97644364104128.39
2011,03,853880967809976.2,236383200000000,99711218519410.95
2011,02,741254810598643.9,233240400000000,86094667685497.25
2011,01,778561585547287.0,261874800000000,97239222656722.31
2010,12,758547176023085.8,265258800000000,99738649971579.1
2010,11,713735788794756.4,225558000000000,95138606454155.89
2010,10,676444839683902.5,225903600000000,98328040296626.14
2010,09,655733038241119.2,249735600000000,93549692340110.17
2010,08,694031565691225.4,257666400000000,96412058868268.22
2010,07,735768520165019.9,258886800000000,95310580558132.94
2010,06,790657800897575.4,245883600000000,90606086511300.36
2010,05,751737845550276.2,239968800000000,94828420033485.6
